filename,cardId,name,cardType,settlementMode,productionMode,resourceType,isStartWorld,isSixCost,prompt
cards/alien-robot-scout-ship.webp,alien-robot-scout-ship,Alien Robot Scout Ship,world,military,windfall,alien,False,False,"""Alien Robot Scout Ship"" a fortified or contested world seen from orbit, with defensive installations non-human geometry, unsettling symmetry accent palette violet and magenta neon-mechanical science fiction, dark substrate, emissive rim light, clean geometric silhouettes, thin glowing linework, volumetric haze, no text, no letters, no numbers, no logos, no people in close-up, centred composition with calm mid-tone middle so overlaid UI stays legible, portrait 3:4"
cards/alien-robot-sentry.webp,alien-robot-sentry,Alien Robot Sentry,world,military,windfall,alien,False,False,"""Alien Robot Sentry"" a fortified or contested world seen from orbit, with defensive installations non-human geometry, unsettling symmetry accent palette violet and magenta neon-mechanical science fiction, dark substrate, emissive rim light, clean geometric silhouettes, thin glowing linework, volumetric haze, no text, no letters, no numbers, no logos, no people in close-up, centred composition with calm mid-tone middle so overlaid UI stays legible, portrait 3:4"
cards/alien-robotic-factory.webp,alien-robotic-factory,Alien Robotic Factory,world,payment,production,alien,False,False,"""Alien Robotic Factory"" an industrious inhabited world with visible extraction or refinery works non-human geometry, unsettling symmetry accent palette violet and magenta neon-mechanical science fiction, dark substrate, emissive rim light, clean geometric silhouettes, thin glowing linework, volumetric haze, no text, no letters, no numbers, no logos, no people in close-up, centred composition with calm mid-tone middle so overlaid UI stays legible, portrait 3:4"
cards/alien-rosetta-stone-world.webp,alien-rosetta-stone-world,Alien Rosetta Stone World,world,payment,none,,False,False,"""Alien Rosetta Stone World"" a quiet colonised world seen from orbit non-human geometry, unsettling symmetry accent palette neon lime on gunmetal neon-mechanical science fiction, dark substrate, emissive rim light, clean geometric silhouettes, thin glowing linework, volumetric haze, no text, no letters, no numbers, no logos, no people in close-up, centred composition with calm mid-tone middle so overlaid UI stays legible, portrait 3:4"
cards/alien-tech-institute.webp,alien-tech-institute,Alien Tech Institute,development,,,,False,True,"""Alien Tech Institute"" a vast orbital institution or megastructure, seen from a distance accent palette neon lime on gunmetal neon-mechanical science fiction, dark substrate, emissive rim light, clean geometric silhouettes, thin glowing linework, volumetric haze, no text, no letters, no numbers, no logos, no people in close-up, centred composition with calm mid-tone middle so overlaid UI stays legible, portrait 3:4"
cards/alpha-centauri.webp,alpha-centauri,Alpha Centauri,world,payment,windfall,rare,True,False,"""Alpha Centauri"" an untouched or abandoned world holding an unclaimed resource cache homeworld scale, welcoming and established accent palette amber and burnt copper neon-mechanical science fiction, dark substrate, emissive rim light, clean geometric silhouettes, thin glowing linework, volumetric haze, no text, no letters, no numbers, no logos, no people in close-up, centred composition with calm mid-tone middle so overlaid UI stays legible, portrait 3:4"
cards/aquatic-uplift-race.webp,aquatic-uplift-race,Aquatic Uplift Race,world,military,windfall,genes,False,False,"""Aquatic Uplift Race"" a fortified or contested world seen from orbit, with defensive installations accent palette acid green and pale jade neon-mechanical science fiction, dark substrate, emissive rim light, clean geometric silhouettes, thin glowing linework, volumetric haze, no text, no letters, no numbers, no logos, no people in close-up, centred composition with calm mid-tone middle so overlaid UI stays legible, portrait 3:4"
cards/artist-colony.webp,artist-colony,Artist Colony,world,payment,production,novelty,False,False,"""Artist Colony"" an industrious inhabited world with visible extraction or refinery works accent palette electric cyan and white neon-mechanical science fiction, dark substrate, emissive rim light, clean geometric silhouettes, thin glowing linework, volumetric haze, no text, no letters, no numbers, no logos, no people in close-up, centred composition with calm mid-tone middle so overlaid UI stays legible, portrait 3:4"
cards/asteroid-belt.webp,asteroid-belt,Asteroid Belt,world,payment,windfall,rare,False,False,"""Asteroid Belt"" an untouched or abandoned world holding an unclaimed resource cache accent palette amber and burnt copper neon-mechanical science fiction, dark substrate, emissive rim light, clean geometric silhouettes, thin glowing linework, volumetric haze, no text, no letters, no numbers, no logos, no people in close-up, centred composition with calm mid-tone middle so overlaid UI stays legible, portrait 3:4"
cards/avian-uplift-race.webp,avian-uplift-race,Avian Uplift Race,world,military,windfall,genes,False,False,"""Avian Uplift Race"" a fortified or contested world seen from orbit, with defensive installations accent palette acid green and pale jade neon-mechanical science fiction, dark substrate, emissive rim light, clean geometric silhouettes, thin glowing linework, volumetric haze, no text, no letters, no numbers, no logos, no people in close-up, centred composition with calm mid-tone middle so overlaid UI stays legible, portrait 3:4"
